date,help,medical_emergency,health,hygiene,fear,death,negative_emotion,sadness,nervousness,confusion,war,fight,healing,movement,leisure,fun,positive_emotion,optimism,sympathy,family,government,modi,economics,business,occupation
3/19,0.011820330969267,0.002364066193853,0.009456264775414,0,0.004728132387707,0.009456264775414,0.016548463356974,0.014184397163121,0.00709219858156,0.002364066193853,0.014184397163121,0.011820330969267,0.014184397163121,0.002364066193853,0.00709219858156,0,0.014184397163121,0.011820330969267,0.002364066193853,0.014184397163121,0.040189125295508,0.004728132387707,0.002364066193853,0.016548463356974,0.004728132387707
3/20,0.00609756097561,0.003048780487805,0.004573170731707,0.001524390243902,0.001524390243902,0.00609756097561,0.013719512195122,0.001524390243902,0.003048780487805,0.001524390243902,0.013719512195122,0.013719512195122,0.004573170731707,0.003048780487805,0.001524390243902,0.003048780487805,0.00609756097561,0.010670731707317,0.001524390243902,0.003048780487805,0.028963414634146,0.003048780487805,0.007621951219512,0.015243902439024,0
3/21,0.011126564673157,0.004172461752434,0.004172461752434,0.001390820584145,0.005563282336579,0.001390820584145,0.016689847009736,0.001390820584145,0.006954102920723,0.001390820584145,0.009735744089013,0.009735744089013,0.011126564673157,0.008344923504868,0,0,0.004172461752434,0.002781641168289,0,0.002781641168289,0.041724617524339,0.001390820584145,0.004172461752434,0.013908205841447,0.005563282336579
3/22,0.005135387488329,0.008403361344538,0.003734827264239,0.00046685340803,0.00046685340803,0.00140056022409,0.006535947712418,0.00093370681606,0.003734827264239,0,0.005602240896359,0.005135387488329,0.002334267040149,0.00093370681606,0.005135387488329,0.00093370681606,0.007002801120448,0.002334267040149,0.00046685340803,0.008870214752568,0.089169000933707,0.002334267040149,0.00186741363212,0.009803921568627,0.009803921568627
3/23,0.007380073800738,0.008487084870849,0.00590405904059,0.000369003690037,0.001476014760148,0.001107011070111,0.020664206642067,0.001476014760148,0.001845018450185,0.000369003690037,0.019188191881919,0.018081180811808,0.004428044280443,0.006642066420664,0.002583025830258,0.001107011070111,0.00479704797048,0.002583025830258,0.000738007380074,0.00479704797048,0.107380073800738,0.001107011070111,0.028413284132841,0.026937269372694,0.007011070110701
3/24,0.016780283167279,0.005768222338752,0.005243838489775,0.001573151546932,0.000524383848977,0.004719454640797,0.008390141583639,0.004719454640797,0.001573151546932,0.001048767697955,0.006816990036707,0.00419507079182,0.005768222338752,0.007865757734662,0.004719454640797,0.001573151546932,0.007865757734662,0.005243838489775,0.001573151546932,0.012585212375459,0.060828526481384,0.00209753539591,0.012585212375459,0.022024121657053,0.008390141583639
3/25,0.0140712945591,0.003126954346467,0.004377736085053,0.00093808630394,0.00281425891182,0.00562851782364,0.00844277673546,0.004065040650407,0.002188868042527,0.00093808630394,0.00375234521576,0.006253908692933,0.00562851782364,0.004065040650407,0.00281425891182,0.00093808630394,0.005941213258286,0.00375234521576,0.00093808630394,0.012507817385866,0.059099437148218,0.00375234521576,0.007191994996873,0.025328330206379,0.011569731081926
3/26,0.011702889897301,0.005970862192501,0.005970862192501,0,0.007165034631001,0.0042990207786,0.017673752089802,0.0019106759016,0.0014330069262,0.0002388344877,0.017673752089802,0.017434917602102,0.0045378552663,0.0045378552663,0.0019106759016,0.0009553379508,0.006448531167901,0.0035825173155,0.0009553379508,0.009075710532601,0.071172677334607,0.007165034631001,0.018629090040602,0.020062096966802,0.0045378552663
3/27,0.017773306505701,0.007712944332663,0.007377598926895,0.001006036217304,0.001006036217304,0.003353454057679,0.019114688128773,0.001006036217304,0.001006036217304,0.001006036217304,0.013413816230718,0.015761234071093,0.007712944332663,0.003688799463447,0.002012072434608,0.000670690811536,0.003688799463447,0.002347417840376,0,0.014084507042254,0.074446680080483,0.008383635144199,0.023809523809524,0.038229376257545,0.01140174379611
3/28,0.018826482585504,0.009413241292752,0.010354565422027,0.002196422968309,0.002196422968309,0.005961719485409,0.009413241292752,0.004392845936618,0.002196422968309,0.001568873548792,0.005020395356134,0.003765296517101,0.010040790712269,0.006589268904926,0.006275494195168,0.000941324129275,0.008785691873235,0.002196422968309,0.000627549419517,0.015061186068403,0.046124882334484,0.005647944775651,0.008785691873235,0.014119861939128,0.010668340131785
