,lag,Andhra_help,Andhra_medical_emergency,Andhra_health,Andhra_hygiene,Andhra_fear,Andhra_death,Andhra_negative_emotion,Andhra_sadness,Andhra_nervousness,Andhra_confusion,Andhra_war,Andhra_fight,Andhra_healing,Andhra_movement,Andhra_leisure,Andhra_fun,Andhra_positive_emotion,Andhra_optimism,Andhra_sympathy,Andhra_family,Andhra_government,Andhra_modi,Andhra_economics,Andhra_business,Andhra_occupation
1,-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,-9,-0.35049565015673,-0.129008857008779,-0.27599335111195,NA,-0.170550782131991,NA,NA,-0.06818529722848,NA,NA,0.068036167761588,-0.053084048952081,NA,NA,-0.293626200681648,NA,NA,-0.049600322998174,NA,NA,-0.209295753025587,NA,NA,0.031533129431434,0.023421655663381
4,-8,-0.388868220925042,-0.1746143420681,-0.285477418975778,NA,-0.219531762377644,NA,NA,-0.087781716654572,NA,NA,-0.04856315937444,-0.132261318820161,-0.139481319157436,NA,-0.263047816756569,NA,-0.177202704059417,-0.171580116156252,NA,0.276264984840718,-0.27600547449054,-0.040910538453503,NA,0.048859431675931,0.073867217671051
5,-7,-0.235311124630715,-0.180175477335264,-0.263577267273188,NA,-0.193741375399554,NA,NA,0.073020759728399,NA,NA,-0.086544710767695,-0.148815334262326,-0.161319496731427,NA,-0.230152474504335,NA,-0.126551175890751,-0.118972909775309,NA,0.314342858023915,-0.22874682038653,-0.023935523310652,NA,0.096791863242595,0.124781835245227
6,-6,-0.312009252143971,-0.100765569057951,-0.23466020724765,-0.061446096937555,-0.20958995088909,NA,NA,-0.209762976041017,NA,NA,0.182711969603019,0.026924073289534,-0.085772821209555,0.038458789473965,-0.129212132503152,NA,-0.161398444731321,-0.065318133191019,NA,0.339430771552244,-0.022917369801533,-0.05347712841923,NA,0.178712843178171,0.178068825052528
7,-5,-0.087596001610936,0.018660981731528,-0.157922209003763,-0.196724393092514,-0.111884648685032,NA,NA,-0.107316794361853,0.129922279689253,NA,0.221038319509502,-0.032466688785436,0.038747510534371,-0.19424713588004,-0.008352060805112,NA,-0.165775627782028,-0.144014937156208,NA,0.28015729849344,-0.033192576157054,0.459167042016123,-0.073260459470683,0.231765380978147,0.155367278651026
8,-4,-0.126288709197678,0.0812947591838,0.052076797090862,-0.342684008256512,0.006915223043286,NA,NA,-0.07984390381498,-0.081947159253487,NA,0.105629134355119,-0.103253948618161,0.084993526213089,-0.38829811207281,0.184459721081091,NA,0.108639972025521,-0.15816151105005,NA,-0.073955893236414,-0.303322680236519,0.570233138802022,-0.162359574927488,0.191281693241942,0.079456007916938
9,-3,0.059727585152338,0.016334564603699,0.196557026588493,-0.173841799800489,0.073755014228606,NA,0.04770594030313,-0.082600093189002,-0.094656884860233,NA,-0.081780391998996,-0.109474967411171,0.305040714928204,-0.040348481053955,0.310661676998632,NA,0.274674196322339,-0.019440962956814,NA,-0.258930280697017,-0.124134726594328,-0.158443435911811,0.056249090625115,0.243443355637384,0.162724227184739
10,-2,0.182919351812964,0.027005528032195,0.272349555080642,-0.009893067239924,0.166254616174994,NA,0.26243272141674,-0.005463483050395,-0.104538690387531,NA,-0.221197018951402,-0.211316873024616,0.335336504130581,0.030594414832654,0.400751887381528,NA,0.376789873370559,0.157490857025685,NA,-0.490472433425797,0.342293736651865,-0.275957694595678,0.326603776411766,0.286966571500553,-0.010660888159875
11,-1,0.179392560612105,0.146387938372696,0.448364655650221,0.626001772265194,0.160413960010939,NA,0.084401452287329,0.028590709780056,-0.248910474605192,NA,-0.197286930493842,-0.171673196844556,0.382751166445089,0.01737731109686,0.479113334483913,NA,0.394164695236655,0.153710603181554,NA,-0.540794370676131,0.649119139859638,-0.165344359923106,-0.026330779888709,0.214856202024558,-0.187349276742818
12,0,0.141345319654277,0.277962456596961,0.482167364113175,0.71959577577291,0.542220905465899,NA,-0.870987128550659,0.632724028964844,-0.657623224417923,NA,-0.309705765878336,-0.219719720999125,0.405159196040426,0.514843044121925,0.513059256115168,NA,0.456349667417227,0.216485684486605,NA,-0.309453505763591,0.470770110819628,-0.251231893646316,0.478480057431478,0.066636045526865,-0.388009044654081
13,1,0.096145119531539,0.560171388552872,0.644942476234563,0.329346362397651,0.51150960410906,NA,0.133518658214666,-0.159562728376973,0.147791898925088,NA,-0.236481839862388,-0.053506766821676,0.313336783232475,0.319312781743779,0.597658446307152,NA,0.288769873693699,0.303251808863975,NA,-0.210210771140341,0.151820893304231,-0.124343258749743,-0.479047318731773,-0.086651941089316,-0.373099699501047
14,2,-0.011376436952188,0.395371923485695,0.615431708601819,0.139466005449892,0.504853077899758,NA,0.409919011170852,-0.104950061901533,0.436758810662682,NA,0.165912460762094,0.185001334228729,-0.056083518862967,-0.132127010000985,0.553193929459513,NA,0.154932252020121,0.643443942808132,NA,-0.254585976657189,0.087465288816057,0.374589617884922,-0.208853233879237,-0.091167575442274,-0.262231667515221
15,3,-0.017411006146854,0.232000050458264,0.563689905871293,0.004182967042668,0.418486045609686,NA,-0.066990654842057,0.09579305702433,0.487673496829419,NA,0.084927512572566,0.08106062534993,-0.107423042550376,0.053063851656519,0.461240730655373,NA,0.146012799956427,0.409051510342824,NA,-0.044095913443957,0.082473694729392,0.185639789728151,-0.202475855364677,-0.142985746207495,-0.070686327646751
